INPUTCURRENCY	RATE	TIME	CATEGORY	RATEENTITY	MEASURES
USD	AVG	2009.JAN	ACTUAL	GLOBAL	1
USD	AVG	2009.FEB	ACTUAL	GLOBAL	1
USD	AVG	2009.MAR	ACTUAL	GLOBAL	1
USD	AVG	2009.APR	ACTUAL	GLOBAL	1
USD	AVG	2009.MAY	ACTUAL	GLOBAL	1
USD	AVG	2009.JUN	ACTUAL	GLOBAL	1
USD	AVG	2009.JUL	ACTUAL	GLOBAL	1
USD	AVG	2009.AUG	ACTUAL	GLOBAL	1
USD	AVG	2009.SEP	ACTUAL	GLOBAL	1
USD	AVG	2009.OCT	ACTUAL	GLOBAL	1
USD	AVG	2009.NOV	ACTUAL	GLOBAL	1
USD	AVG	2009.DEC	ACTUAL	GLOBAL	1
USD	AVG	2010.JAN	ACTUAL	GLOBAL	1
USD	AVG	2010.FEB	ACTUAL	GLOBAL	1
USD	AVG	2010.MAR	ACTUAL	GLOBAL	1
USD	AVG	2010.APR	ACTUAL	GLOBAL	1
USD	AVG	2010.MAY	ACTUAL	GLOBAL	1
USD	AVG	2010.JUN	ACTUAL	GLOBAL	1
USD	AVG	2010.JUL	ACTUAL	GLOBAL	1
USD	AVG	2010.AUG	ACTUAL	GLOBAL	1
USD	AVG	2010.SEP	ACTUAL	GLOBAL	1
USD	AVG	2010.OCT	ACTUAL	GLOBAL	1
USD	AVG	2010.NOV	ACTUAL	GLOBAL	1
USD	AVG	2010.DEC	ACTUAL	GLOBAL	1
USD	AVG	2011.JAN	ACTUAL	GLOBAL	1
USD	AVG	2011.FEB	ACTUAL	GLOBAL	1
USD	AVG	2011.MAR	ACTUAL	GLOBAL	1
USD	AVG	2011.APR	ACTUAL	GLOBAL	1
USD	AVG	2011.MAY	ACTUAL	GLOBAL	1
USD	AVG	2011.JUN	ACTUAL	GLOBAL	1
USD	AVG	2011.JUL	ACTUAL	GLOBAL	1
USD	AVG	2011.AUG	ACTUAL	GLOBAL	1
USD	AVG	2011.SEP	ACTUAL	GLOBAL	1
USD	AVG	2011.OCT	ACTUAL	GLOBAL	1
USD	AVG	2011.NOV	ACTUAL	GLOBAL	1
USD	AVG	2011.DEC	ACTUAL	GLOBAL	1
USD	AVG	2012.JAN	ACTUAL	GLOBAL	1
USD	AVG	2012.FEB	ACTUAL	GLOBAL	1
USD	AVG	2012.MAR	ACTUAL	GLOBAL	1
USD	AVG	2012.APR	ACTUAL	GLOBAL	1
USD	AVG	2012.MAY	ACTUAL	GLOBAL	1
USD	AVG	2012.JUN	ACTUAL	GLOBAL	1
USD	AVG	2012.JUL	ACTUAL	GLOBAL	1
USD	AVG	2012.AUG	ACTUAL	GLOBAL	1
USD	AVG	2012.SEP	ACTUAL	GLOBAL	1
USD	AVG	2012.OCT	ACTUAL	GLOBAL	1
USD	AVG	2012.NOV	ACTUAL	GLOBAL	1
USD	AVG	2012.DEC	ACTUAL	GLOBAL	1
USD	AVG	2013.JAN	ACTUAL	GLOBAL	1
USD	AVG	2013.FEB	ACTUAL	GLOBAL	1
USD	AVG	2013.MAR	ACTUAL	GLOBAL	1
USD	AVG	2013.APR	ACTUAL	GLOBAL	1
USD	AVG	2013.MAY	ACTUAL	GLOBAL	1
USD	AVG	2013.JUN	ACTUAL	GLOBAL	1
USD	AVG	2013.JUL	ACTUAL	GLOBAL	1
USD	AVG	2013.AUG	ACTUAL	GLOBAL	1
USD	AVG	2013.SEP	ACTUAL	GLOBAL	1
USD	AVG	2013.OCT	ACTUAL	GLOBAL	1
USD	AVG	2013.NOV	ACTUAL	GLOBAL	1
USD	AVG	2013.DEC	ACTUAL	GLOBAL	1
USD	AVG	2014.JAN	ACTUAL	GLOBAL	1
USD	AVG	2014.FEB	ACTUAL	GLOBAL	1
USD	AVG	2014.MAR	ACTUAL	GLOBAL	1
USD	AVG	2014.APR	ACTUAL	GLOBAL	1
USD	AVG	2014.MAY	ACTUAL	GLOBAL	1
USD	AVG	2014.JUN	ACTUAL	GLOBAL	1
USD	AVG	2014.JUL	ACTUAL	GLOBAL	1
USD	AVG	2014.AUG	ACTUAL	GLOBAL	1
USD	AVG	2014.SEP	ACTUAL	GLOBAL	1
USD	AVG	2014.OCT	ACTUAL	GLOBAL	1
